,X,Y
0,0.0,-1746.3654730546973
1,1.0,352.7804033275022
2,2.0,1169.835802563644
3,3.0,-228.93603652138984
4,4.0,1011.5207869512317
5,5.0,551.1188413943821
6,6.0,264.77966922140047
7,7.0,-1019.7433305682932
8,8.0,-132.49583082317534
9,9.0,318.7014442733817
10,10.0,-387.6269855026243
11,11.0,512.2634881228921
12,12.0,-499.79505032266474
13,13.0,907.3470716857789
14,14.0,769.9208057096611
15,15.0,-0.5111433906277085
16,16.0,-420.6803768519097
17,17.0,1147.0326851333461
18,18.0,-314.13562270441736
19,19.0,-987.6182462554361
20,20.0,1756.3816606752598
21,21.0,1685.7051745134067
22,22.0,-101.07913921321295
23,23.0,-684.9357382512976
24,24.0,348.71869056394286
25,25.0,1107.9822011089523
26,26.0,908.6003438348088
27,27.0,1545.856125145331
28,28.0,-135.2380592023025
29,29.0,253.3760148547769
30,30.0,426.79960855530487
31,31.0,-1232.1169952253367
32,32.0,-538.5523055944354
33,33.0,1040.9540110192859
34,34.0,981.6447615341785
35,35.0,-218.04692746800217
36,36.0,1434.2222680291256
37,37.0,-1439.3168263836042
38,38.0,-1098.3990488613126
39,39.0,-967.7345139149261
40,40.0,-273.0391616724644
41,41.0,-390.07173681342766
42,42.0,292.1145632289031
43,43.0,-321.4387354781626
44,44.0,1597.948074755309
45,45.0,-1428.195623653281
46,46.0,-671.71009912963
47,47.0,675.8077531673654
48,48.0,-1288.5785028221758
49,49.0,1802.413866612129
50,50.0,-849.6175973177195
51,51.0,-204.64619353548977
52,52.0,-588.2461615447683
53,53.0,-469.43236436587085
54,54.0,474.0634678336795
55,55.0,879.70959049232
56,56.0,-483.62734651047975
57,57.0,1634.7697427269788
58,58.0,312.3887540826006
59,59.0,-491.03148126503385
60,60.0,-476.39838948301747
61,61.0,430.73894948806014
62,62.0,656.6446219236218
63,63.0,439.0485486286124
64,64.0,-1203.329399380822
65,65.0,-605.309877709317
66,66.0,1058.6388816875462
67,67.0,1188.505213323824
68,68.0,1485.9214393997904
69,69.0,-966.4906110589266
70,70.0,-1368.7883001867172
71,71.0,845.1932261673037
72,72.0,154.0228649471914
73,73.0,-196.71797808975316
74,74.0,2533.8075615049333
75,75.0,-44.814411914592824
76,76.0,1263.0533303268412
77,77.0,-787.6923390808192
78,78.0,1106.5733357942745
